Positive tweets: 37.17948717948718   Negative Tweets: 21.794871794871796   Neutral tweets: 0.41025641025641024
Positive tweets: 35.8974358974359   Negative Tweets: 25.641025641025642   Neutral tweets: 0.38461538461538464
Positive tweets: 36.8421052631579   Negative Tweets: 26.31578947368421   Neutral tweets: 0.3684210526315789
Positive tweets: 34.5679012345679   Negative Tweets: 24.691358024691358   Neutral tweets: 0.4074074074074074
Positive tweets: 34.146341463414636   Negative Tweets: 23.170731707317074   Neutral tweets: 0.4268292682926829
Positive tweets: 36.36363636363637   Negative Tweets: 17.045454545454547   Neutral tweets: 0.4659090909090909
Positive tweets: 34.78260869565217   Negative Tweets: 13.043478260869565   Neutral tweets: 0.5217391304347826
Positive tweets: 41.57303370786517   Negative Tweets: 13.48314606741573   Neutral tweets: 0.449438202247191
Positive tweets: 36.470588235294116   Negative Tweets: 15.294117647058824   Neutral tweets: 0.4823529411764706
Positive tweets: 39.24050632911393   Negative Tweets: 18.9873417721519   Neutral tweets: 0.4177215189873418
Positive tweets: 37.5   Negative Tweets: 21.25   Neutral tweets: 0.4125
Positive tweets: 30.0   Negative Tweets: 23.75   Neutral tweets: 0.4625
Positive tweets: 31.764705882352942   Negative Tweets: 25.88235294117647   Neutral tweets: 0.4235294117647059
Positive tweets: 26.96629213483146   Negative Tweets: 24.719101123595507   Neutral tweets: 0.48314606741573035
Positive tweets: 26.136363636363637   Negative Tweets: 26.136363636363637   Neutral tweets: 0.4772727272727273
Positive tweets: 31.11111111111111   Negative Tweets: 20.0   Neutral tweets: 0.4888888888888889
Positive tweets: 24.719101123595507   Negative Tweets: 22.471910112359552   Neutral tweets: 0.5280898876404494
Positive tweets: 24.175824175824175   Negative Tweets: 21.978021978021978   Neutral tweets: 0.5384615384615384
Positive tweets: 20.652173913043477   Negative Tweets: 23.91304347826087   Neutral tweets: 0.5543478260869565

Positive tweets: 26.436781609195403   Negative Tweets: 27.586206896551722   Neutral tweets: 0.45977011494252873
Positive tweets: 26.136363636363637   Negative Tweets: 25.0   Neutral tweets: 0.48863636363636365
Positive tweets: 27.272727272727273   Negative Tweets: 23.863636363636363   Neutral tweets: 0.48863636363636365
Positive tweets: 27.586206896551722   Negative Tweets: 24.137931034482758   Neutral tweets: 0.4827586206896552
Positive tweets: 32.142857142857146   Negative Tweets: 22.61904761904762   Neutral tweets: 0.4523809523809524
Positive tweets: 31.03448275862069   Negative Tweets: 24.137931034482758   Neutral tweets: 0.4482758620689655
Positive tweets: 32.55813953488372   Negative Tweets: 24.41860465116279   Neutral tweets: 0.43023255813953487
Positive tweets: 32.098765432098766   Negative Tweets: 23.45679012345679   Neutral tweets: 0.4444444444444444
Positive tweets: 33.75   Negative Tweets: 22.5   Neutral tweets: 0.4375
Positive tweets: 32.098765432098766   Negative Tweets: 22.22222222222222   Neutral tweets: 0.4567901234567901
Positive tweets: 36.58536585365854   Negative Tweets: 23.170731707317074   Neutral tweets: 0.4024390243902439
Positive tweets: 34.93975903614458   Negative Tweets: 21.686746987951807   Neutral tweets: 0.43373493975903615
Positive tweets: 37.64705882352941   Negative Tweets: 21.176470588235293   Neutral tweets: 0.4117647058823529
Positive tweets: 38.095238095238095   Negative Tweets: 20.238095238095237   Neutral tweets: 0.4166666666666667
Positive tweets: 36.58536585365854   Negative Tweets: 17.073170731707318   Neutral tweets: 0.4634146341463415
Positive tweets: 37.03703703703704   Negative Tweets: 17.28395061728395   Neutral tweets: 0.4567901234567901
Positive tweets: 36.470588235294116   Negative Tweets: 20.0   Neutral tweets: 0.43529411764705883
Positive tweets: 37.2093023255814   Negative Tweets: 19.767441860465116   Neutral tweets: 0.43023255813953487
Positive tweets: 38.372093023255815   Negative Tweets: 22.093023255813954   Neutral tweets: 0.3953488372093023
Positive tweets: 39.08045977011494   Negative Tweets: 21.839080459770116   Neutral tweets: 0.39080459770114945
Positive tweets: 38.372093023255815   Negative Tweets: 22.093023255813954   Neutral tweets: 0.3953488372093023
Positive tweets: 38.8235294117647   Negative Tweets: 22.352941176470587   Neutral tweets: 0.38823529411764707
Positive tweets: 39.53488372093023   Negative Tweets: 23.25581395348837   Neutral tweets: 0.37209302325581395
